system:time_start,NDVI
"Jan 1, 2021",0.42
"Jan 4, 2021",0.403
"Jan 4, 2021",0.482
"Jan 6, 2021",0.365
"Jan 9, 2021",0.348
"Jan 9, 2021",0.219
"Jan 11, 2021",0.354
"Jan 14, 2021",0.391
"Jan 14, 2021",0.486
"Jan 16, 2021",0.317
"Jan 19, 2021",0.375
"Jan 19, 2021",0.464
"Jan 21, 2021",0.322
"Jan 24, 2021",0.321
"Jan 24, 2021",0.432
"Jan 26, 2021",0.288
"Jan 29, 2021",0.284
"Jan 29, 2021",0.305
"Jan 31, 2021",0.293
"Feb 3, 2021",0.321
"Feb 3, 2021",0.425
"Feb 5, 2021",0.29
"Feb 8, 2021",0.045
"Feb 8, 2021",0.027
"Feb 10, 2021",0.31
"Feb 13, 2021",0.279
"Feb 13, 2021",0.377
"Feb 15, 2021",0.264
"Feb 18, 2021",0.288
"Feb 18, 2021",0.368
"Feb 20, 2021",0.294
"Feb 23, 2021",0.247
"Feb 23, 2021",0.31
"Feb 25, 2021",0.26
"Feb 28, 2021",0.234
"Feb 28, 2021",0.287
"Mar 2, 2021",0.196
"Mar 5, 2021",0.249
"Mar 5, 2021",0.3
"Mar 7, 2021",0.24
"Mar 10, 2021",0.214
"Mar 10, 2021",0.239
"Mar 12, 2021",0.204
"Mar 15, 2021",0.164
"Mar 15, 2021",0.181
"Mar 17, 2021",0.173
"Mar 20, 2021",0.213
"Mar 20, 2021",0.244
"Mar 22, 2021",0.171
"Mar 25, 2021",0.175
"Mar 25, 2021",0.172
"Mar 27, 2021",0.164
"Mar 30, 2021",0.053
"Mar 30, 2021",0.076
"Apr 1, 2021",0.058
"Apr 4, 2021",0.058
"Apr 4, 2021",0.117
"Apr 6, 2021",0.19
"Apr 9, 2021",0.246
"Apr 9, 2021",0.272
"Apr 11, 2021",0.21
"Apr 14, 2021",0.231
"Apr 14, 2021",0.284
"Apr 16, 2021",0.268
"Apr 19, 2021",0.227
"Apr 19, 2021",0.313
"Apr 21, 2021",0.158
"Apr 24, 2021",0.045
"Apr 24, 2021",0.034
"Apr 26, 2021",0.17
"Apr 29, 2021",0.046
"Apr 29, 2021",0.02
"May 1, 2021",0.111
"May 4, 2021",0.08
"May 4, 2021",0.096
"May 6, 2021",0.059
"May 9, 2021",0.038
"May 9, 2021",0.055
"May 11, 2021",0.265
"May 14, 2021",0.27
"May 14, 2021",0.416
"May 16, 2021",0.136
"May 19, 2021",0.259
"May 19, 2021",0.404
"May 21, 2021",0.211
"May 24, 2021",0.247
"May 24, 2021",0.433
"May 26, 2021",0.136
"May 29, 2021",0.233
"May 29, 2021",0.469
"May 31, 2021",0.295
"Jun 3, 2021",0.3
"Jun 3, 2021",0.478
"Jun 5, 2021",0.278
"Jun 8, 2021",0.255
"Jun 8, 2021",0.35
"Jun 10, 2021",0.165
"Jun 13, 2021",0.011
"Jun 13, 2021",0.018
"Jun 15, 2021",0.031
"Jun 18, 2021",0.421
"Jun 18, 2021",0.478
"Jun 20, 2021",0.389
"Jun 23, 2021",0.351
"Jun 23, 2021",0.473
"Jun 25, 2021",0.363
"Jun 28, 2021",0.242
"Jun 28, 2021",0.145
"Jun 30, 2021",0.303
"Jul 3, 2021",0.39
"Jul 3, 2021",0.378
"Jul 5, 2021",0.424
"Jul 8, 2021",0.052
"Jul 8, 2021",0.034
"Jul 10, 2021",0.286
"Jul 13, 2021",0.422
"Jul 13, 2021",0.392
"Jul 15, 2021",0.281
"Jul 18, 2021",0.409
"Jul 18, 2021",0.434
"Jul 20, 2021",0.286
"Jul 23, 2021",0.084
"Jul 23, 2021",0.096
"Jul 25, 2021",0.104
"Jul 28, 2021",0.104
"Jul 28, 2021",0.119
"Jul 30, 2021",0.297
"Aug 2, 2021",0.37
"Aug 2, 2021",0.341
"Aug 4, 2021",0.108
"Aug 7, 2021",0.092
"Aug 7, 2021",0.033
"Aug 9, 2021",0.47
"Aug 12, 2021",0.214
"Aug 12, 2021",0.181
"Aug 14, 2021",0.166
"Aug 17, 2021",0.21
"Aug 17, 2021",0.109
"Aug 19, 2021",0.422
"Aug 22, 2021",0.43
"Aug 22, 2021",0.343
"Aug 24, 2021",0.339
"Aug 27, 2021",0.07
"Aug 27, 2021",0.033
"Aug 29, 2021",0.122
"Sep 1, 2021",0.254
"Sep 1, 2021",0.298
"Sep 3, 2021",0.067
"Sep 6, 2021",0.229
"Sep 6, 2021",0.102
"Sep 8, 2021",0.251
"Sep 11, 2021",0.262
"Sep 11, 2021",0.233
"Sep 13, 2021",0.377
"Sep 16, 2021",0.113
"Sep 16, 2021",0.07
"Sep 18, 2021",0.239
"Sep 21, 2021",0.155
"Sep 21, 2021",0.159
"Sep 23, 2021",0.023
"Sep 26, 2021",0.004
"Sep 26, 2021",-0.003
"Sep 28, 2021",0.16
"Oct 1, 2021",0.25
"Oct 1, 2021",0.28
"Oct 3, 2021",0.229
"Oct 6, 2021",0.237
"Oct 6, 2021",0.224
"Oct 8, 2021",0.24
"Oct 11, 2021",0.068
"Oct 11, 2021",0.081
"Oct 13, 2021",0.007
"Oct 16, 2021",0.083
"Oct 16, 2021",0.062
"Oct 18, 2021",-0.01
"Oct 21, 2021",0.264
"Oct 21, 2021",0.253
"Oct 23, 2021",0.164
"Oct 26, 2021",0.347
"Oct 26, 2021",0.277
"Oct 28, 2021",0.026
"Oct 31, 2021",0.289
"Oct 31, 2021",0.164
"Nov 2, 2021",0.27
"Nov 5, 2021",0.284
"Nov 5, 2021",0.289
"Nov 7, 2021",0.228
"Nov 10, 2021",0.351
"Nov 10, 2021",0.314
"Nov 15, 2021",0.381
"Nov 15, 2021",0.314
"Nov 17, 2021",0.29
"Nov 20, 2021",0.326
"Nov 20, 2021",0.309
"Nov 22, 2021",0.333
"Nov 25, 2021",0.38
"Nov 25, 2021",0.314
"Nov 27, 2021",0.36
"Nov 30, 2021",0.16
"Nov 30, 2021",0.158
"Dec 2, 2021",0.372
"Dec 5, 2021",0.409
"Dec 5, 2021",0.344
"Dec 7, 2021",0.381
"Dec 10, 2021",0.404
"Dec 10, 2021",0.35
"Dec 12, 2021",0.41
"Dec 15, 2021",0.398
"Dec 15, 2021",0.352
"Dec 17, 2021",0.406
"Dec 20, 2021",0.399
"Dec 20, 2021",0.371
"Dec 22, 2021",0.399
"Dec 25, 2021",0.223
"Dec 25, 2021",0.285
"Dec 27, 2021",0.431
"Dec 30, 2021",0.436
"Dec 30, 2021",0.436
